262144   32   0.0743254   0.567207  9.41318e-05
131072   32   0.0743254   0.567015  0.000133493
65536   64   0.0441942   0.591772  0.000115226
65536   64   0.0441942   0.591524  0.000116234
65536   64   0.0441942   0.59132  0.000116185
8192   128   0.026278   0.606262  0.000198141
8192   128   0.026278   0.606328  0.000197264
8192   128   0.026278   0.606279  0.000196463
2048   256   0.015625   0.614871  0.000240088
2048   256   0.015625   0.615334  0.000240003
2048   256   0.015625   0.615478  0.000233424
2048   256   0.015625   0.615036  0.000239408
2048   256   0.015625   0.615199  0.000232369
512   512   0.00929068   0.620281  0.000281945
512   512   0.00929068   0.620329  0.000296257
512   512   0.00929068   0.620568  0.000278514
