2   7180   4130   -0.499697   0.0141182   -503576
3   3253   1775   -0.488062   0.00830078   -489216
4   1792   970   -0.479605   0.00548172   -479457
5   994   581   -0.473333   0.00391388   -472289
6   709   410   -0.469395   0.00312614   -467319
7   553   295   -0.465973   0.00255585   -463065
8   410   246   -0.462528   0.00206375   -459194
9   279   181   -0.460026   0.00175095   -455914
10   236   139   -0.458344   0.00156403   -453403
11   226   109   -0.456493   0.00137901   -451043
12   165   96   -0.454039   0.00115585   -448557
13   149   72   -0.452459   0.00102425   -446577
14   105   81   -0.45055   0.00087738   -444640
15   103   74   -0.449909   0.000831604   -443170
16   104   56   -0.44908   0.000776291   -441625
17   83   55   -0.447615   0.000684738   -439961
18   54   46   -0.446707   0.000631332   -438550
19   68   36   -0.446432   0.000616074   -437578
20   55   39   -0.445272   0.000555038   -436286
