0 .6530689948 .6756091563 .6231139900 .3653502e-3
.1e-1 .6504894018 .6728937460 .6214251097 .1469840e-3
.2e-1 .6478748609 .6701438400 .6197077194 -.763338e-4
.3e-1 .6447393996 .6673591698 .6179613209 -.7903422e-3
.4e-1 .6409193594 .6645394846 .6161854185 -.21584819e-2
.5e-1 .6388216167 .6616845523 .6143795204 -.17736741e-2
.6e-1 .6373302628 .6587941615 .6125431402 -.7516443e-3
.7e-1 .6344053844 .6558681230 .6106757986 -.11321409e-2
.8e-1 .6308649881 .6529062714 .6087770254 -.20970136e-2
.9e-1 .6287605725 .6499084671 .6068463615 -.15946421e-2
.1 .6258363439 .6468745981 .6048833608 -.18807233e-2
.11 .6236451562 .6438045819 .6028875931 -.14023312e-2
.12 .6208820459 .6406983673 .6008586463 -.14643848e-2
.13 .6166607483 .6375559366 .5987961293 -.29531334e-2
.14 .6145045935 .6343773075 .5966996750 -.23452624e-2
.15 .6119076420 .6311625349 .5945689434 -.21467590e-2
.16 .6077795253 .6279117133 .5924036250 -.34480736e-2
.17 .6054942330 .6246249789 .5902034444 -.28753355e-2
.18 .6038505951 .6213025110 .5879681641 -.16298703e-2
.19 .5984424864 .6179445349 .5856975883 -.41179992e-2
.2 .5966706120 .6145513229 .5833915669 -.29392538e-2
.21 .5921850865 .6111231970 .5810500005 -.44437998e-2
.22 .5902479830 .6076605305 .5786728437 -.33698883e-2
.23 .5865350658 .6041637494 .5762601107 -.40421256e-2
.24 .5828617044 .6006333346 .5738118791 -.46455605e-2
.25 .5785829253 .5970698230 .5713282952 -.58256332e-2
.26 .5752619584 .5934738090 .5688095780 -.60196308e-2
.27 .5721352110 .5898459459 .5662560245 -.59917140e-2
.28 .5704245562 .5861869464 .5636680135 -.45206295e-2
.29 .5677121786 .5824975841 .5610460105 -.40248653e-2
.3 .5640903169 .5787786934 .5583905716 -.44129084e-2
.31 .5587981180 .5750311704 .5557023470 -.64463910e-2
.32 .5571153301 .5712559725 .5529820849 -.48463975e-2
.33 .5528754142 .5674541184 .5502306340 -.57803526e-2
.34 .5506301369 .5636266877 .5474489460 -.46974286e-2
.35 .5479702857 .5597748197 .5446380777 -.40078287e-2
.36 .5450384529 .5558997128 .5417991912 -.35700027e-2
.37 .5417749215 .5520026223 .5389335550 -.34447591e-2
.38 .5394782599 .5480848592 .5360425427 -.233466948e-2
.39 .5358964243 .5441477876 .5331276318 -.249296382e-2
.4 .5326377093 .5401928224 .5301904012 -.231257802e-2
.41 .5291074929 .5362214266 .5272325270 -.238940608e-2
.42 .5258944211 .5322351076 .5242557788 -.213611278e-2
.43 .5216633508 .5282354145 .5212620134 -.288918844e-2
.44 .5184426946 .5242239336 .5182531683 -.262159964e-2
.45 .5159404024 .5202022847 .5152312544 -.162680519e-2
.46 .5114257203 .5161721169 .5121983467 -.263699285e-2
.47 .5086954039 .5121351038 .5091565759 -.185686235e-2
.48 .5054675594 .5080929391 .5061081174 -.156978040e-2
.49 .5002966309 .5040473315 .5030551810 -.3222788451e-2
.5 .4981711815 .5000000000 .5000000000 -.18288185e-2
.51 .4948165654 .4959526685 .4969448190 -.1664015249e-2
.52 .4918368122 .4919070609 .4938918826 -.112584800e-2
.53 .4888289582 .4878648962 .4908434241 -.61877555e-3
.54 .4867409839 .4838278831 .4878016533 .80369705e-3
.55 .4828773623 .4797977153 .4847687456 .44456989e-3
.56 .4799538104 .4757760664 .4817468317 .101810464e-2
