1 .5000000000 .5 .5000000000 0. .5000000000
2 .5000000000 .5 .5000000000 0. .5000000000
3 .5000000000 .5 .5000000000 0. .5000000000
4 .5000000000 .5 .5000000000 0. .5000000000
5 .6180339887 .5848 .5773502692 .128921290e-1 .5976921290
6 .6180339887 .5824 .5773502692 .152921290e-1 .5976921290
7 .6180339887 .592746 .5773502692 .49461290e-2 .5976921290
8 .6914139798 .6396 .6299605249 .210872523e-1 .6606872523
9 .6914139798 .6500 .6299605249 .106872523e-1 .6606872523
10 .6914139798 .6476 .6299605249 .130872523e-1 .6606872523
11 .7412709106 .697043 .6687403050 .79626078e-2 .7050056078
